business_name,document_number,entity_type,filing_date,status,principal_address,mailing_address,city,state,zip,registered_agent,officer_name,officer_title,fei_number
"HAUL OR NOTHING TRUCKING, LLC",L26000106510,Florida Limited Liability Company,02/19/2026,Active,"1300 LAKE ARIANA BLVD, AUBURNDALE, FL 33823","1300 LAKE ARIANA BLVD, AUBURNDALE, FL 33823",AUBURNDALE,FL,33823,INC AUTHORITY RA,SHEENA CONRAD,MGR,
HANSEL'S PRO WASH SOLUTIONS LLC,L26000105701,Florida Limited Liability Company,02/20/2026,Active,"3725 COUNTRY LN, LAKELAND, FL 33810","3725 COUNTRY LN, LAKELAND, FL 33810",LAKELAND,FL,33810,DIAZ LEMUZ HANSEL,HANSEL DIAZ LEMUS,MGR,
"AUGMENTO V, LLC",L26000105841,Florida Limited Liability Company,02/15/2026,Active,"2551 HERITAGE GREEN A, DAVENPORT, FL 33837","2551 HERITAGE GREEN A, DAVENPORT, FL 33837",DAVENPORT,FL,33837,PUSATERI TOMMASO,,,
INSTABID LLC,L26000106961,Florida Limited Liability Company,02/19/2026,Active,"7574 GUNSTOCK DR, LAKELAND,, FL 33809","7574 GUNSTOCK DR, LAKELAND,, FL 33809","LAKELAND,",FL,33809,WATERS BAYLEE L,JAMES CAREY,AMBR,
BLUE MOON FC LLC,L26000107221,Florida Limited Liability Company,02/20/2026,Active,"127 E ALAMO DR, LAKELAND, FL 33813","127 E ALAMO DR, LAKELAND, FL 33813",LAKELAND,FL,33813,CHEN YAN LIN,YAN LIN CHEN,AMBR,
"BULLFOOT CREEK CABIN, LLC",L26000107271,Florida Limited Liability Company,03/02/2026,Active,"200 E. STUART AVE., LAKE WALES, FL 33853","200 E. STUART AVE., LAKE WALES, FL 33853",LAKE WALES,FL,33853,JAHNA E. ELIAS,E. ELIAS JAHNA,MGR,
WINTER HAVEN AI LLC,L26000107601,Florida Limited Liability Company,02/20/2026,Active,"2408 CYPRESS GARDENS BLVD, WINTER HAVEN, FL 33884","2408 CYPRESS GARDENS BLVD, WINTER HAVEN, FL 33884",WINTER HAVEN,FL,33884,BOWERS PHILLIP L,PHILLIP L BOWERS,MGR,
LOUDITSURLIFE LLC,L26000108161,Florida Limited Liability Company,02/20/2026,Active,"815 CHINOY RD, DAVENPORT, FL 33837","815 CHINOY RD, DAVENPORT 33837",DAVENPORT,FL,33837,DELEON VASQUEZ LUIS,,,
RENUEVO LEARNING LLC,L26000108371,Florida Limited Liability Company,02/20/2026,Active,"740 W MAIN ST, HAINES CITY, FL 33844","3813 CARRICK BEND, KISSIMMEE, FL 34746",HAINES CITY,FL,33844,GARCIA EILEEN,EILEEN GARCIA,MGR,
SPOOLHOUSE GARAGE LLC,L26000106142,Florida Limited Liability Company,02/19/2026,Active,"5827 LAKEWOOD LN, LAKELAND, FL 33805","5827 LAKEWOOD LN, LAKELAND, FL 33805",LAKELAND,FL,33805,MASON RYAN,RYAN MASON,AMBR,
2310 NSB LLC,L26000106412,Florida Limited Liability Company,02/19/2026,Active,"6702 HUNTINGTON HILLS BLVD, LAKELAND, FL 33810","6702 HUNTINGTON HILLS BLVD, LAKELAND, FL 33810",LAKELAND,FL,33810,TRUONG JENNY H,JENNY H TRUONG,MGR,
STORMLINE WINDOWS & DOORS LLC,L26000106882,Florida Limited Liability Company,03/04/2026,Active,"2208 TONGASS BEN, DAVENPORT, FL 33837","2208 TONGASS BEN, DAVENPORT, FL 33837",DAVENPORT,FL,33837,ARQUIMEDES JOSE LUCES GIL,ARQUIMEDES JOSE LUCE S GIL,MGR,
WALFAN INTERNATIONAL NETWORK LLC,L26000107132,Florida Limited Liability Company,02/20/2026,Active,"1443 SAGUARO ST, DAVENPORT, FL 33837","1443 SAGUARO ST, DAVENPORT, FL 33837",DAVENPORT,FL,33837,"UNITED STATES CORPORATION AGENTS, INC.",WALLENSON NOBERT,AMBR,
REVS VIBES LLC,L26000107312,Florida Limited Liability Company,02/19/2026,Active,"1353 YORKDALE RD, DAVENPORT, FL 33837","1353 YORKDALE RD, DAVENPORT, FL 33837",DAVENPORT,FL,33837,CASTILLO DAVID,DAVID CASTILLO PABA,MGR,
APEX INDUSTRIAL AND CONTRACTING LLC,L26000107582,Florida Limited Liability Company,02/20/2026,Active,"11651 MOORE RD, LAKELAND, FL 33809","11651 MOORE RD, LAKELAND, FL 33809",LAKELAND,FL,33809,YOHN GARRET C,GARRET C YOHN,CEO,
"ARXIS CAPITAL PARTNERS, LLC",L26000107363,Florida Limited Liability Company,02/20/2026,Active,"2140 LONGLEAF CIRCLE, LAKELAND, FL 33810","2140 LONGLEAF CIRCLE, LAKELAND, FL 33810",LAKELAND,FL,33810,RISTEVSKI SASHO,SASHO RISTEVSKI,MGR,
"42ND STREET PROPERTIES, LLC",L26000108113,Florida Limited Liability Company,02/20/2026,Active,"1101 42ND STREET NW, WINTER HAVEN, FL 33881","1101 42ND STREET NW, WINTER HAVEN, FL 33881",WINTER HAVEN,FL,33881,BREWNER MICHAEL,MICHAEL BREWNER,MGR,
SPC TRANS CORP,P26000010444,Domestic Profit Corporation,02/19/2026,Active,"564 SEATTLE SLEW DR, DAVENPORT, FL 33837","564 SEATTLE SLEW DR, DAVENPORT, FL 33837",DAVENPORT,FL,33837,TEJEDA OMAR,OMAR TEJEDA,P,
NOVAS GENERAL CONTRACTORS LLC,L26000106084,Florida Limited Liability Company,02/19/2026,Active,"1735 OAKLAND ROAD EAST, LAKELAND, FL 33801","1735 OAKLAND ROAD EAST, LAKELAND, FL 33801",LAKELAND,FL,33801,GONCALVES VILAS MAURICIO,MAURICIO GONCALVES VILAS,MGR,
"CHARTERSTONE MANAGEMENT GROUP, LLC",L26000106364,Florida Limited Liability Company,02/20/2026,Active,"621 CROCKETT DRIVE, LAKELAND, FL 33813","621 CROCKETT DRIVE, LAKELAND, FL 33813",LAKELAND,FL,33813,DE JESUS JONATHAN,JONATHAN DE JESUS,PRES,
WILLI REMODELING AND SERVICES LLC,L26000106744,Florida Limited Liability Company,02/19/2026,Active,"1652 ROSELAWN ST SW, WINTER HAVEN, FL 33880","1652 ROSELAWN ST SW, WINTER HAVEN, FL 33880",WINTER HAVEN,FL,33880,PAAU SUB WILFREDO,,,
TRE FORGED LLC,L26000107814,Florida Limited Liability Company,03/15/2026,Active,"122 ALTA VISTA CT., DAVENPORT, FL 33837","122 ALTA VISTA CT., DAVENPORT, FL 33837",DAVENPORT,FL,33837,HINES TREVON L,TREVON L HINES,MGR,
"PACDADDY DISTRIBUTORS, LLC",L26000105825,Florida Limited Liability Company,02/16/2026,Active,"3462 MUD CANYON DRIVE, DAVENPORT, FL 33837","3462 MUD CANYON DRIVE, DAVENPORT, FL 33837",DAVENPORT,FL,33837,MUINO PETER F,,,
TAQUERIA TONO'S GRILL LLC,L26000106115,Florida Limited Liability Company,02/19/2026,Active,"3225 OAK TREE LN, MULBERRY, FL 33860","3225 OAK TREE LN, MULBERRY, FL 33860",MULBERRY,FL,33860,ROBLERO HERNANDEZ ANTONIO,ANTONIO ROBLERO HERNANDEZ,MGR,
VIRTUOSO CONCIERGE LLC,L26000106565,Florida Limited Liability Company,02/28/2026,Active,"1504 ASPEN AVE., DAVENPORT, FL 33837","1504 ASPEN AVE., DAVENPORT, FL 33837",DAVENPORT,FL,33837,LEVERETT BENNIE B,LAMAR T FINLEY,MGR,
SHARP CONNECT SOLUTIONS LLC,L26000106665,Florida Limited Liability Company,02/19/2026,Active,"637 AVENUE A NW, WINTER HAVEN, FL 33881","637 AVENUE A NW, WINTER HAVEN, FL 33881",WINTER HAVEN,FL,33881,SHARP TYLER J,TYLER J SHARP,AMBR,
GYM LONER LLC,L26000107495,Florida Limited Liability Company,02/20/2026,Active,"2714 AVE. U NW, WINTER HAVEN, FL 33881","2714 AVE. U NW, WINTER HAVEN, FL 33881",WINTER HAVEN,FL,33881,SMITH STEFON E,STEFON SMITH,AR,
DNP TRANSPORT LLC,L26000107905,Florida Limited Liability Company,02/20/2026,Active,"572 HEATHER GLEN DR, WINTER HAVEN, FL 33884","572 HEATHER GLEN DR, WINTER HAVEN, FL 33884",WINTER HAVEN,FL,33884,PERSAUD DEVEN N,DEVEN N PERSAUD,AMBR,
ANABELLA LLC,L26000108225,Florida Limited Liability Company,02/20/2026,Active,"3500 POSNER BLVD, DAVENPORT, FL 33837","3119 NEWTOWN AVE, SUITE 300, ASTORIA, NY 11102",DAVENPORT,FL,33837,BOMTEMPO MAURO,MAURO BOMTEMPO,MGR,
INSPIRATIONS DANCE PROJECT INC.,N26000002725,DOMN,02/19/2026,Active,"1340 LUCERNE LOOP ROAD NE, WINTER HAVEN, FL 33881","1340 LUCERNE LOOP ROAD NE, WINTER HAVEN, FL 33881",WINTER HAVEN,FL,33881,RICHARDS MIKALAH E,MIKALAH RICHARDS,"P, T",
SUPERIOR SOUTHERN SERVICES LLC,L26000108705,Florida Limited Liability Company,02/20/2026,Active,"495 N OAK AVE, BARTOW, FL 33830","495 N OAK AVE, BARTOW, FL 33830",BARTOW,FL,33830,SCHOFIELD ERIC W,,,
GREATS HOLDING CORP,P26000010466,Domestic Profit Corporation,02/16/2026,Active,"2735 LOOKOUT RIDGE ROAD, HAINES CITY, FL 33844","9248 MOSS PRESERVE PKWY, 102, ORLANDO, FL 32832",HAINES CITY,FL,33844,CORE BOOKEEPERS LLC,JULIAN BOTERO QUINTERO,P,
SMOOTH MOVE TRUCKING LLC,L26000106386,Florida Limited Liability Company,02/19/2026,Active,"62 MARSHALL LN, FROSTPROOF, FL 33843","62 MARSHALL LN, FROSTPROOF, FL 33843",FROSTPROOF,FL,33843,GAMBLE DARLENE M,DARLENE M GAMBLE,MGR,
JOHNNY'S AUTOMOTIVE #5 LLC,L26000106626,Florida Limited Liability Company,02/19/2026,Active,"126 W CENTRAL AVE, WINTER HAVEN, FL 33880","126 W CENTRAL AVE, WINTER HAVEN, FL 33880",WINTER HAVEN,FL,33880,DONOHUE BRIAN,BRIAN DONOHUE,MGR,
WE INVESTORS LLC,L26000107946,Florida Limited Liability Company,02/28/2026,Active,"3 W FROSTPROOF RD, FROSTPROOF, FL 33843","3 W FROSTPROOF RD, FROSTPROOF,, FL 33843",FROSTPROOF,FL,33843,BATISTA WILLIAM A,WILLIAM A BATISTA,MGR,
ANAGABY ENTERTAIMENTS LLC,L26000108326,Florida Limited Liability Company,02/20/2026,Active,"2295 S HIAWASSEE RD, SUITE 205, ORLANDO, FL 32835","1649 DENALI ST, DAVENPORT, FL 33837",DAVENPORT,FL,33837,CORTELL ACOSTA ANA,ANA CORTELL ACOSTA,MGR,
E&L STRATEGIC INVESTMENTS LLC,L26000108376,Florida Limited Liability Company,03/01/2026,Active,"2905 PICKARDS PASS, LAKELAND, FL 33813","2905 PICKARDS PASS, LAKELAND, FL 33813",LAKELAND,FL,33813,LEGALL EVA,EVA LEGALL,AMBR,
GAME DAY SIMS LLC,L26000108496,Florida Limited Liability Company,02/20/2026,Active,"304 E PINE ST, 1239, LAKELAND, FL 33801","304 E PINE ST, 1239, LAKELAND, FL 33801",LAKELAND,FL,33801,BURKS JORDAN J,JORDAN J BURKS,MGR,
LEGACY TRANSPORT GROUP LLC,L26000108636,Florida Limited Liability Company,02/20/2026,Active,"400 HATFIELD RD, WINTER HAVEN, FL 33880","400 HATFIELD RD, WINTER HAVEN, FL 33880",WINTER HAVEN,FL,33880,SANCHEZ SHANIBELL,JULIO C SANCHEZ,AMBR,
NEW ERA BUSINESS DEVELOPMENT GROUP LLC,L26000108766,Florida Limited Liability Company,02/20/2026,Active,"2491 HERITAGE GREEN AVE, DAVENPORT, FL 33837","2491 HERITAGE GREEN AVE, DAVENPORT, FL 33837",DAVENPORT,FL,33837,ARREGOCES JOSE G,JOSE G ARREGOCES,AMBR,
DESIREE PELLETIER LLC,L26000105757,Florida Limited Liability Company,02/19/2026,Active,"5442 JACOB AVE, POLK CITY, FL 33868","5442 JACOB AVE, POLK CITY, FL 33868",POLK CITY,FL,33868,PELLETIER DESIREE DMS,DESIREE DMS PELLETIER,AMBR,
LA ISLA MENOS FOOD SERVICES CORP,P26000010527,Domestic Profit Corporation,02/20/2026,Active,"1252 CASCADES AVE, DAVENPORT, FL 33837","1252 CASCADES AVE, DAVENPORT, FL 33837",DAVENPORT,FL,33837,FEBLES RIVERA SHEILA M,SHEILA M FEBLES RIVERA,P,
"907 CENTRAL AVENUE, LLC",L26000106717,Florida Limited Liability Company,02/19/2026,Active,"907 N. CENTRAL AVE, KISSIMMEE, FL 34741","106 PARK PLACE BLVD, SUITE C, DAVENPORT, FL 33837",DAVENPORT,FL,33837,PANDEY AMIT,AMIT PANDEY,MGR,
GIFTED PRESENT LLC,L26000107107,Florida Limited Liability Company,02/20/2026,Active,"4728 WILLIAMSTOWN BLVD, APT  4728, LAKELAND, FL 33810","4728 WILLIAMSTOWN BLVD, APT 4728, LAKELAND, FL 33810",LAKELAND,FL,33810,CUBILLAN MARTHA,MARTHA CUBILLAN,AMBR,
REVELT LLC,L26000107567,Florida Limited Liability Company,02/20/2026,Active,"4850 FOXGLOVE CIRCLE, LAKELAND, FL 33811","4850 FOXGLOVE CIRCLE, LAKELAND, FL 33811",LAKELAND,FL,33811,REGAN KRISTA A,KRISTA A REGAN,MGR,
MORLA CAPITAL GROUP LLC,L26000107747,Florida Limited Liability Company,02/20/2026,Active,"2366 WHITE CEDAR WAY, HAINES CITY, FL 33844","2366 WHITE CEDAR WAY, HAINES CITY, FL 33844",HAINES CITY,FL,33844,MORLA VARGAS JOEL,JOEL MORLA VARGAS,AMBR,
CINCO STARZ CONSTRUCTION SERVICES L.L.C,L26000108727,Florida Limited Liability Company,02/20/2026,Active,"2131 CYPRESS GARDENS BLVD, WINTER HAVEN, FL 33884","2131 CYPRESS GARDENS BLVD, WINTER HAVEN, FL 33884",WINTER HAVEN,FL,33884,HERNANDEZ OMAR,OMAR HERNANDEZ,MGR,
IRON FIX SOLUTION LLC,L26000106688,Florida Limited Liability Company,02/19/2026,Active,"612 TULIP CIR W, AUBURNDALE, FL 33823","612 TULIP CIR W, AUBURNDALE, FL 33823",AUBURNDALE,FL,33823,LEONE CLAUDIO,NORA L SILVA VALENZUELA,AMBR,
CINDERELLA CLEANING SOLUTIONS LLC,L26000107588,Florida Limited Liability Company,02/20/2026,Active,"4203 WINDCHIME LN, LAKELAND, FL 33811","4203 WINDCHIME LN, LAKELAND, FL 33811",LAKELAND,FL,33811,MULLINS DAVID LJR.,DAVID LJR. MULLINS,AMBR,
PHASEONE SITE SERVICES LLC,L26000107598,Florida Limited Liability Company,02/15/2026,Active,"5819 HIGH RIDGE LOOP, LAKELAND, FL 33812","5819 HIGH RIDGE LOOP, LAKELAND, FL 33812",LAKELAND,FL,33812,FAAS RYAN,RYAN FAAS,MGR,
SERVI SABOR FOOD LLC,L26000106149,Florida Limited Liability Company,02/19/2026,Active,"1500 WEST HIGHLAND STREET, LAKELAND, FL 33815","1500 WEST HIGHLAND STREET, LAKELAND, FL 33815",LAKELAND,FL,33815,SOLANO MARCIAL JUAN,JUAN SOLANO MARCIAL,MGR,
MINISTERIO DE FE Y REESTAURACION CORP,N26000002689,DOMN,04/07/2026,Active,"2001 OLD BARTOW RD, LAKE WALES, FL 33859","2001 OLD BARTOW RD, LAKE WALES, FL 33859",LAKE WALES,FL,33859,RODRIGUEZ ANA,FRANCISCO PASTO MEDEROS,P,
A&ASTROW LLC,L26000106459,Florida Limited Liability Company,02/19/2026,Active,"728 PENNY LANE, LAKELAND, FL 33813","728 PENNY LANE, LAKELAND, FL 33813",LAKELAND,FL,33813,STROW ANTHONY,ANTHONY STROW,MGR,
"ST. RAPHAEL COMPANION CARE, LLC",L26000106489,Florida Limited Liability Company,02/15/2026,Active,"925 FENTON LN, APT 2, LAKELAND, FL 33809","P.O. BOX 7489, INDIAN LAKE ESTATES, FL 33855",LAKELAND,FL,33809,JEROME JYOTSNA,SERENA JEROME,AR,
BROWARD CORPORATE HOUSING LLC,L26000106599,Florida Limited Liability Company,02/19/2026,Active,"99 6TH ST SW, 106, WINTER HAVEN, FL 33880","99 6TH ST SW, 106, WINTER HAVEN, FL 33880",WINTER HAVEN,FL,33880,CAPITAL BRIDGE REI LLC,CAPITAL BRIDGE INVES TMENTS LLC,AMBR,
R2 PRESTIGE LLC,L26000106609,Florida Limited Liability Company,02/19/2026,Active,"1865 INDUSTRIAL PARK RD, MULBERRY, FL 33860","1865 INDUSTRIAL PARK RD, MULBERRY, FL 33860",MULBERRY,FL,33860,VREELAND RHENDA,RHENDA VREELAND,MGR,
YFL VEHICLE TRANSPORT LLC,L26000106849,Florida Limited Liability Company,02/19/2026,Active,"510 JETT LN, DAVENPORT, FL 33837","510 JETT LN, DAVENPORT, FL 33837",DAVENPORT,FL,33837,CRUZ FRANK,FRANK CRUZ,AMBR,
11 NEW STONE LLC,L26000107339,Florida Limited Liability Company,02/19/2026,Active,"4135 POLSTON RD, LAKELAND,FL, FL 33810","4135 POLSTON RD, LAKELAND,FL 33810","LAKELAND,FL",FL,33810,HERRERA FRANCO ALFONSO,,,
MALDONADO SOURCING LLC,L26000107899,Florida Limited Liability Company,03/01/2026,Active,"1093 DEMETREE DR, LAKELAND, FL 33811","1093 DEMETREE DR, LAKELAND, FL 33811",LAKELAND,FL,33811,MALDONADO BERRIOS JUAN C,JUAN C MALDONADO BERRIOS,MGR,
OR AUTO TRANSPORT LLC,L26000108519,Florida Limited Liability Company,02/20/2026,Active,"168 ELEUTHERA DR, LAKE ALFRED, FL 33850","168 ELEUTHERA DR, LAKE ALFRED, FL 33850",LAKE ALFRED,FL,33850,OQUENDO-RIOS TANNY,TANNY OQUENDO-RIOS,MGR,
FLEET GODDESS FREIGHT LLC,L26000108679,Florida Limited Liability Company,02/20/2026,Active,"5452 LEWELLYN RD, LAKELAND, FL 33810","5452 LEWELLYN RD, LAKELAND, FL 33810",LAKELAND,FL,33810,FRIERSON FELICIA L,FELICIA L FRIERSON,AMBR,
